"","X","Date","scaled_change","lag_volume_scaled"
"562",1292,"2018-07-16",-0.680385885626061,-0.818409806751311
"563",1293,"2018-07-17",-0.666607272142263,-0.821787153226305
"564",1294,"2018-07-18",-0.65313725852393,-0.825187729206348
"565",1295,"2018-07-19",-0.640066119070135,-0.828608346147262
"566",1296,"2018-07-20",-0.627475894748655,-0.83204559611333
"567",1297,"2018-07-21",-0.615426455629096,-0.835495976011737
"568",1298,"2018-07-22",-0.603961942210937,-0.83895570660587
"569",1299,"2018-07-23",-0.593115837920037,-0.842421337125789
"570",1300,"2018-07-24",-0.582933073216173,-0.84589004749689
"571",1301,"2018-07-25",-0.573452688388072,-0.849358724072873
"572",1302,"2018-07-26",-0.564706862755125,-0.852823876541271
"573",1303,"2018-07-27",-0.556732419841772,-0.856282218203072
"574",1304,"2018-07-28",-0.54956896434853,-0.859730747939597
"575",1305,"2018-07-29",-0.543251896376016,-0.863166511964634
"576",1306,"2018-07-30",-0.537806512990294,-0.866586577951615
"577",1307,"2018-07-31",-0.533249304311501,-0.869987988200883
"578",1308,"2018-08-01",-0.529579585386614,-0.873367168244552
"579",1309,"2018-08-02",-0.526795321714895,-0.876720119139764
"580",1310,"2018-08-03",-0.524901931663396,-0.880042974912482
"581",1311,"2018-08-04",-0.523900106438872,-0.883332072680284
"582",1312,"2018-08-05",-0.52379049151425,-0.886583559071236
"583",1313,"2018-08-06",-0.524568130019828,-0.889793875511533
"584",1314,"2018-08-07",-0.526217763219617,-0.892959961996197
"585",1315,"2018-08-08",-0.528703903436676,-0.896079174080416
"586",1316,"2018-08-09",-0.531967494373551,-0.89914912247041
"587",1317,"2018-08-10",-0.535928250440831,-0.902168053879982
"588",1318,"2018-08-11",-0.540514733832667,-0.905134604261535
"589",1319,"2018-08-12",-0.54565376001422,-0.908047844661079
"590",1320,"2018-08-13",-0.551272775473794,-0.910907509514835
"591",1321,"2018-08-14",-0.557289432460305,-0.913713496526513
"592",1322,"2018-08-15",-0.563619108478301,-0.916465255197001
"593",1323,"2018-08-16",-0.570161944412314,-0.919161959537895
"594",1324,"2018-08-17",-0.576831084482266,-0.921802881860921
"595",1325,"2018-08-18",-0.583552621498764,-0.924387505575148
"596",1326,"2018-08-19",-0.59026635461412,-0.926914865742978
"597",1327,"2018-08-20",-0.596911758347781,-0.929383716063604
"598",1328,"2018-08-21",-0.603426755076824,-0.931792435056286
"599",1329,"2018-08-22",-0.609759267755688,-0.934139923077821
"600",1330,"2018-08-23",-0.615877233194473,-0.93642509777647
"601",1331,"2018-08-24",-0.621764540321294,-0.938646548141329
"602",1332,"2018-08-25",-0.627403016310364,-0.940802580021012
"603",1333,"2018-08-26",-0.632779593849897,-0.942891159073258
"604",1334,"2018-08-27",-0.637882254356787,-0.944910237448022
"605",1335,"2018-08-28",-0.642698195105039,-0.946857820413464
"606",1336,"2018-08-29",-0.647208352450044,-0.948731771388926
"607",1337,"2018-08-30",-0.651404385380377,-0.950529889250081
"608",1338,"2018-08-31",-0.655279466875591,-0.9522501467457
"609",1339,"2018-09-01",-0.658824016687079,-0.953890940443854
"610",1340,"2018-09-02",-0.66202060926638,-0.95545074659723
"611",1341,"2018-09-03",-0.664858157215871,-0.956928468329242
"612",1342,"2018-09-04",-0.66731712169043,-0.958323410741671
"613",1343,"2018-09-05",-0.669378214497343,-0.959634322119399
"614",1344,"2018-09-06",-0.671029559846377,-0.960859574189457
"615",1345,"2018-09-07",-0.672255538844709,-0.961997854242728
"616",1346,"2018-09-08",-0.673049129902134,-0.963048523048346
"617",1347,"2018-09-09",-0.673426988689195,-0.964010871382853
"618",1348,"2018-09-10",-0.673407415030887,-0.964884539086713
"619",1349,"2018-09-11",-0.673012247638324,-0.965669678308883
"620",1350,"2018-09-12",-0.672272406512164,-0.966366523653193
"621",1351,"2018-09-13",-0.671244766844859,-0.966975167633934
"622",1352,"2018-09-14",-0.669987617927471,-0.967496166398461
"623",1353,"2018-09-15",-0.668547909912141,-0.9679304733443
"624",1354,"2018-09-16",-0.666965320101416,-0.968278859267197
"625",1355,"2018-09-17",-0.665297918294168,-0.968542210881333
"626",1356,"2018-09-18",-0.663614225506263,-0.968721567254327
"627",1357,"2018-09-19",-0.661981329158781,-0.968817614902592
"628",1358,"2018-09-20",-0.660470460720361,-0.968830593124494
"629",1359,"2018-09-21",-0.659155224798289,-0.968760949666137
"630",1360,"2018-09-22",-0.658120528531769,-0.968609091322436
"631",1361,"2018-09-23",-0.657451396142366,-0.96837521769897
"632",1362,"2018-09-24",-0.657231832811885,-0.968060078838481
"633",1363,"2018-09-25",-0.657518883280149,-0.967664531685429
"634",1364,"2018-09-26",-0.658349565808127,-0.967189020541263
"635",1365,"2018-09-27",-0.659760954810634,-0.966633202375062
"636",1366,"2018-09-28",-0.661795140103812,-0.965996611538369
"637",1367,"2018-09-29",-0.664487475441267,-0.965279114900097
"638",1368,"2018-09-30",-0.66785781075814,-0.964481183479537
"639",1369,"2018-10-01",-0.671911346995001,-0.963603871016923
"640",1370,"2018-10-02",-0.676666200878197,-0.962647789555227
