"","X","Sentiment","Date","Change_.","scaled_sentiment","scaled_change"
"445",444,0.114071119595344,"2019-01-16",-0.00103113587500353,-0.700043891884928,-0.718207569325614
"446",445,0.114163384078846,"2019-01-17",-0.000997355933048566,-0.689594714482619,-0.706884156308385
"447",446,0.114256529343375,"2019-01-18",-0.000961700851098273,-0.679045786484399,-0.694932175466482
"448",447,0.114350416159127,"2019-01-19",-0.000924273332085326,-0.668412876004823,-0.682386053967552
"449",448,0.114444923697755,"2019-01-20",-0.000885160271272848,-0.657709667148064,-0.669274920072232
"450",449,0.114539939952907,"2019-01-21",-0.000844500783535063,-0.646948844906379,-0.655645406636782
"451",450,0.114635367717518,"2019-01-22",-0.000802443422121671,-0.636141418216552,-0.641547310366114
"452",451,0.114731102385754,"2019-01-23",-0.000759142066902804,-0.625299233943912,-0.627032213507668
"453",452,0.114827035698245,"2019-01-24",-0.000714765455644015,-0.614434552725763,-0.612156678841025
"454",453,0.11492307934364,"2019-01-25",-0.000669503241789269,-0.603557376037542,-0.596984280314268
"455",454,0.115019137437606,"2019-01-26",-0.000623519857930019,-0.592678563013471,-0.581570137564637
"456",455,0.115115130135399,"2019-01-27",-0.0005769814565148,-0.581807156265236,-0.565969946744633
"457",456,0.115211011922942,"2019-01-28",-0.000530023560126962,-0.570948310372875,-0.550229136534579
"458",457,0.115306784380743,"2019-01-29",-0.000482725605479782,-0.560101846339996,-0.53437433500608
"459",458,0.115402468075941,"2019-01-30",-0.000435185248702972,-0.549265434888055,-0.518438277582182
"460",459,0.115498107285001,"2019-01-31",-0.000387532809683504,-0.538434061599581,-0.502464648941401
"461",460,0.115593739802421,"2019-02-01",-0.000339859573777798,-0.527603446155565,-0.486484048952574
"462",461,0.115689399188648,"2019-02-02",-0.0002921898291448,-0.516769787753661,-0.470504619277268
"463",462,0.115785105866957,"2019-02-03",-0.000244507339273831,-0.505930773408422,-0.45452091725615
"464",463,0.115880890952249,"2019-02-04",-0.000196774552863749,-0.495082879281508,-0.438520355274572
"465",464,0.115976788904924,"2019-02-05",-0.000148966435033484,-0.484222202648601,-0.422494541361387
